"gene","module","module_color"
"WRNIP1",2,"blue"
"GLI1",5,"green"
"PTCHD1",3,"brown"
"FBXO25",1,"turquoise"
"LPCAT1",1,"turquoise"
"CLPTM1L",1,"turquoise"
"TDRP",2,"blue"
"ARHGEF10",1,"turquoise"
"ACOT9",1,"turquoise"
"SOWAHC",3,"brown"
"FAM43B",1,"turquoise"
"ASAH1",4,"yellow"
"NAA20",1,"turquoise"
"GKAP1",4,"yellow"
"IDNK",1,"turquoise"
"C9orf64",2,"blue"
"KDSR",3,"brown"
"FLAD1",1,"turquoise"
"ERP44",4,"yellow"
"MAP4K5",1,"turquoise"
"MAMDC2",3,"brown"
"KCTD16",7,"black"
"PTAR1",3,"brown"
"FAM189A2",6,"red"
"SS18",1,"turquoise"
"SMC5",1,"turquoise"
"SERINC1",1,"turquoise"
"NNT",2,"blue"
"YES1",2,"blue"
"TMEM267",1,"turquoise"
"PAIP1",1,"turquoise"
"DHRS4",1,"turquoise"
"SEMA3F",3,"brown"
"TMEM33",1,"turquoise"
"PDIA3",1,"turquoise"
"FURIN",1,"turquoise"
"ATG13",7,"black"
"CD82",4,"yellow"
"GPR85",3,"brown"
"SLC39A9",1,"turquoise"
"PLEKHD1",1,"turquoise"
"BAG3",4,"yellow"
"C4orf46",1,"turquoise"
"ART4",0,"grey"
"MGP",1,"turquoise"
"GLT8D1",4,"yellow"
"KIF7",1,"turquoise"
"ASXL1",1,"turquoise"
"PSKH1",3,"brown"
"SIN3A",2,"blue"
"BCCIP",4,"yellow"
"KBTBD8",3,"brown"
"PPP2R2B",3,"brown"
"UBL7",1,"turquoise"
"MMP23B",5,"green"
"CAPN7",1,"turquoise"
"KCTD12",1,"turquoise"
"LIMA1",1,"turquoise"
"PCID2",1,"turquoise"
"CUL4A",6,"red"
"F7",4,"yellow"
"PROZ",1,"turquoise"
"MCF2L",6,"red"
"TUBGCP3",1,"turquoise"
"RAD23A",1,"turquoise"
"NAPA",1,"turquoise"
"SPRYD3",1,"turquoise"
"ELP6",1,"turquoise"
"ADIPOR2",1,"turquoise"
"TFCP2",1,"turquoise"
"GYG1",1,"turquoise"
"PSMG2",2,"blue"
"TTK",1,"turquoise"
"ELOVL4",2,"blue"
"SH3BGRL2",6,"red"
"LCA5",4,"yellow"
"HUNK",1,"turquoise"
"TRIM54",6,"red"
"HIBADH",2,"blue"
"SUN2",1,"turquoise"
"SRSF10",1,"turquoise"
"SLC25A46",1,"turquoise"
"MAN2A1",3,"brown"
"PSMF1",4,"yellow"
"AKR1B1",1,"turquoise"
"GP5",1,"turquoise"
"EPN3",6,"red"
"FZD9",6,"red"
"HEXIM1",2,"blue"
"PFDN5",7,"black"
"ESPL1",1,"turquoise"
"CWH43",8,"pink"
"UQCRC2",2,"blue"
"RHOT2",5,"green"
"CPZ",1,"turquoise"
"NFU1",1,"turquoise"
"THG1L",1,"turquoise"
"FANCD2",1,"turquoise"
"HAUS8",1,"turquoise"
"EGFLAM",4,"yellow"
"CHRD",4,"yellow"
"NHSL1",2,"blue"
"PRDM15",1,"turquoise"
"HOXA7",1,"turquoise"
"NUDT2",1,"turquoise"
"gga-mir-6669",1,"turquoise"
"FUBP1",1,"turquoise"
"DCLRE1A",1,"turquoise"
"PPP1R21",1,"turquoise"
"PIK3CA",1,"turquoise"
"CASP7",1,"turquoise"
"COMMD1",1,"turquoise"
"B3GNT2",1,"turquoise"
"SRP54",9,"magenta"
"PDXP",6,"red"
"PRIM2",1,"turquoise"
"OXLD1",2,"blue"
"MCM3",1,"turquoise"
"PAQR8",5,"green"
"EFHC1",4,"yellow"
"TRAM2",1,"turquoise"
"gga-mir-1586",1,"turquoise"
"IMPACT",5,"green"
"PLIN2",4,"yellow"
"HAUS6",1,"turquoise"
"SH3GL2",2,"blue"
"ZBTB20",4,"yellow"
"TMEM18",4,"yellow"
"HOXA2",1,"turquoise"
"EIF3H",2,"blue"
"CLTA",1,"turquoise"
"TXNL4B",7,"black"
"NANS",6,"red"
"IMPG2",9,"magenta"
"TRMT10C",1,"turquoise"
"POLH",9,"magenta"
"NEK9",1,"turquoise"
"PLCH1",9,"magenta"
"TMED10",4,"yellow"
"INTS4",7,"black"
"ADIPOR1",2,"blue"
"EIF2AK4",1,"turquoise"
"GFER",1,"turquoise"
"HCCS",1,"turquoise"
"AKAP1",1,"turquoise"
"DCAF17",3,"brown"
"HOMER2",2,"blue"
"ARHGEF16",1,"turquoise"
"PRPF6",1,"turquoise"
"WHAMM",1,"turquoise"
"TPRG1L",1,"turquoise"
"SAMD10",3,"brown"
"TOB2",7,"black"
"GOLGA1",7,"black"
"PHF5A",3,"brown"
"ACO2",2,"blue"
"TEF",1,"turquoise"
"LHX4",3,"brown"
"GJD4",1,"turquoise"
"ST3GAL2",4,"yellow"
"NCBP3",1,"turquoise"
"ITGAV",2,"blue"
"CRK",1,"turquoise"
"CAPN10",1,"turquoise"
"SCARF2",2,"blue"
"ZNF592",4,"yellow"
"DCAKD",3,"brown"
"PHLPP2",1,"turquoise"
"MLLT6",1,"turquoise"
"TPM1",1,"turquoise"
"POLG2",1,"turquoise"
"IFT52",1,"turquoise"
"RBBP4",7,"black"
"ARRDC2",2,"blue"
"TUBGCP2",1,"turquoise"
"NEMP1",3,"brown"
"SEC61A1",3,"brown"
"MMP11",2,"blue"
"MYO1A",1,"turquoise"
"ZNF384",1,"turquoise"
"NDE1",1,"turquoise"
"NDUFB2",1,"turquoise"
"C8G",1,"turquoise"
"RGS11",3,"brown"
"RFC5",1,"turquoise"
"MCOLN1",1,"turquoise"
"SIK2",4,"yellow"
"TMEM230",3,"brown"
"SMKR1",1,"turquoise"
"MRPL33",1,"turquoise"
"DOCK10",1,"turquoise"
"KAT6B",6,"red"
"ACAD9",3,"brown"
"SH2D3C",8,"pink"
"CENPI",1,"turquoise"
"KCNT2",6,"red"
"SREBF2",4,"yellow"
"FBXO30",4,"yellow"
"SCAF4",1,"turquoise"
"PHPT1",5,"green"
"RSF1",1,"turquoise"
"CDCA3",1,"turquoise"
"ARF5",2,"blue"
"CPEB2",1,"turquoise"
"NAT10",1,"turquoise"
"KCTD18",4,"yellow"
"SOCS4",1,"turquoise"
"PGPEP1",1,"turquoise"
"RPL3",1,"turquoise"
"LGALS3",1,"turquoise"
"LYPD1",2,"blue"
"PSMD13",1,"turquoise"
"DAPP1",1,"turquoise"
"TINAG",1,"turquoise"
"C1orf216",1,"turquoise"
"PUS1",4,"yellow"
"ANKRD13A",5,"green"
"MRPL51",4,"yellow"
"CACNG3",3,"brown"
"FLRT3",1,"turquoise"
"ABI2",1,"turquoise"
"BIRC5",7,"black"
"SELENOT",5,"green"
"PPP1R3D",3,"brown"
"ABLIM1",4,"yellow"
"EBNA1BP2",6,"red"
"YPEL5",1,"turquoise"
"TBC1D8B",1,"turquoise"
"ISM1",4,"yellow"
"WNT5B",1,"turquoise"
"WNK1",1,"turquoise"
"ERC1",1,"turquoise"
"TPMT",1,"turquoise"
"GPR137B",4,"yellow"
"SNX13",3,"brown"
"VEGFC",1,"turquoise"
"GPR146",3,"brown"
"MRPL48",1,"turquoise"
"PAAF1",1,"turquoise"
"UCP3",3,"brown"
"PPME1",1,"turquoise"
"SAXO1",2,"blue"
"NKX2-8",2,"blue"
"FAM199X",1,"turquoise"
"POLE3",4,"yellow"
"ZDHHC6",1,"turquoise"
"PLCB1",6,"red"
"SNORA28",1,"turquoise"
"SNORD94",1,"turquoise"
"GBX2",3,"brown"
"PKNOX1",1,"turquoise"
"OTUD7B",2,"blue"
"U2AF1",1,"turquoise"
"CRYAA",5,"green"
"SH3GLB2",1,"turquoise"
"SEL1L3",6,"red"
"PRMT9",1,"turquoise"
"TUBGCP5",4,"yellow"
"HERC2",1,"turquoise"
"UQCRB",9,"magenta"
"LPL",4,"yellow"
"PPIG",1,"turquoise"
"NRG1",3,"brown"
"XPOT",1,"turquoise"
"DTL",5,"green"
"ELMOD2",3,"brown"
"WARS2",2,"blue"
"ERBIN",9,"magenta"
"SEC31A",1,"turquoise"
"SYT13",7,"black"
"LLGL2",1,"turquoise"
"HBP1",1,"turquoise"
"MTMR3",1,"turquoise"
"PRDM11",2,"blue"
"PAK3",1,"turquoise"
"PAK1",2,"blue"
"MAP3K14",1,"turquoise"
"KLHDC8A",4,"yellow"
"DLG1",1,"turquoise"
"CRH",5,"green"
"AATK",4,"yellow"
"RNH1",1,"turquoise"
"CHM",1,"turquoise"
"FMC1",1,"turquoise"
"UBN2",1,"turquoise"
"SRSF3",1,"turquoise"
"ERRFI1",3,"brown"
"ERI3",1,"turquoise"
"DMAP1",4,"yellow"
"FBXW7",4,"yellow"
"SSU72",5,"green"
"RNF220",4,"yellow"
"SDHAF4",1,"turquoise"
"VPS41",1,"turquoise"
"VIL1",1,"turquoise"
"CUTC",1,"turquoise"
"ATL2",6,"red"
"MYLK2",3,"brown"
"SCNN1G",4,"yellow"
"MYO18B",1,"turquoise"
"NDUFB9",1,"turquoise"
"MSS51",3,"brown"
"TFPI",1,"turquoise"
"POLR2E",1,"turquoise"
"CXCR1",1,"turquoise"
"NDUFV2",4,"yellow"
"ARHGEF39",1,"turquoise"
"ZCCHC4",1,"turquoise"
"HEY2",3,"brown"
"TMEM70",1,"turquoise"
"ATG4C",1,"turquoise"
"BCL9L",1,"turquoise"
"NPY",4,"yellow"
"AGPS",3,"brown"
"UBA5",4,"yellow"
"DCLK2",1,"turquoise"
"POLR3B",1,"turquoise"
"RPS16",2,"blue"
"TMEM17",1,"turquoise"
"EMC6",1,"turquoise"
"RALB",8,"pink"
"IGFBP3",1,"turquoise"
"SGPP1",3,"brown"
"TMEM223",1,"turquoise"
"GRB10",1,"turquoise"
"PFN4",2,"blue"
"TBC1D1",1,"turquoise"
"COG5",2,"blue"
"MUL1",3,"brown"
"ZBTB26",4,"yellow"
"LPCAT3",3,"brown"
"ASXL3",1,"turquoise"
"RPS15",2,"blue"
"CCDC80",3,"brown"
"GTPBP8",1,"turquoise"
"SUV39H2",1,"turquoise"
"FASTKD2",1,"turquoise"
"DCLRE1C",1,"turquoise"
"ABHD12",5,"green"
"EIF4G1",1,"turquoise"
"XPNPEP1",1,"turquoise"
"STIL",1,"turquoise"
"BNIP3",1,"turquoise"
"PPP2R2D",1,"turquoise"
"SKA3",1,"turquoise"
"SAP18",1,"turquoise"
"MICU2",1,"turquoise"
"SACS",1,"turquoise"
"SGCG",1,"turquoise"
"ANPEP",3,"brown"
"DNAJB2",2,"blue"
"CPPED1",4,"yellow"
"CPNE1",1,"turquoise"
"TECTA",2,"blue"
"PRMT3",1,"turquoise"
"AP1M1",1,"turquoise"
"VPS25",2,"blue"
"RAB8A",1,"turquoise"
"PXYLP1",2,"blue"
"H2AFY",2,"blue"
"STT3B",2,"blue"
"EIF5",1,"turquoise"
"IGFBP2",3,"brown"
"IGFBP5",1,"turquoise"
"NFIB",3,"brown"
"PALMD",1,"turquoise"
"MYL3",4,"yellow"
"RHOC",1,"turquoise"
"WDR45B",1,"turquoise"
"MXRA8",2,"blue"
"C5",5,"green"
"MSL3",3,"brown"
"STUB1",6,"red"
"PPP4R3A",1,"turquoise"
"CEP170",1,"turquoise"
"TC2N",1,"turquoise"
"UGGT1",2,"blue"
"DGKQ",9,"magenta"
"ANKLE2",1,"turquoise"
"THRAP3",1,"turquoise"
"CAMSAP2",1,"turquoise"
"SIKE1",1,"turquoise"
"FBXL2",1,"turquoise"
"SLC31A2",2,"blue"
"CACNA1S",4,"yellow"
"NR3C1",1,"turquoise"
"FTSJ3",1,"turquoise"
"PABPC1",2,"blue"
"RPL35",1,"turquoise"
"GNA11",1,"turquoise"
"ASH2L",2,"blue"
"P2RX6",1,"turquoise"
"DNAJB12",1,"turquoise"
"GRIA3",1,"turquoise"
"POU3F3",1,"turquoise"
"ALDH1A2",2,"blue"
"ASB1",1,"turquoise"
"RALGPS2",1,"turquoise"
"CHST12",2,"blue"
"C11orf52",1,"turquoise"
"SASS6",1,"turquoise"
"LRP1",2,"blue"
"CSF3",2,"blue"
"NCMAP",2,"blue"
"SHC1",1,"turquoise"
"YTHDF3",1,"turquoise"
"RGS7",1,"turquoise"
"FITM2",2,"blue"
"IKBIP",3,"brown"
"AGR3",1,"turquoise"
"CDR2",4,"yellow"
"NQO2",1,"turquoise"
"ARAP2",7,"black"
"ZNF335",1,"turquoise"
"SLC26A1",1,"turquoise"
"ZDHHC21",1,"turquoise"
"HSD17B1",2,"blue"
"CDK2AP2",1,"turquoise"
"AGRN",2,"blue"
"NECTIN1",4,"yellow"
"REPS2",3,"brown"
"RBBP7",1,"turquoise"
"NHS",5,"green"
"SNX9",3,"brown"
"CTPS2",1,"turquoise"
"SYAP1",1,"turquoise"
"STX18",1,"turquoise"
"MSX1",1,"turquoise"
"SLC22A15",1,"turquoise"
"ZNF148",1,"turquoise"
"TNPO1",1,"turquoise"
"MAPRE1",1,"turquoise"
"OGG1",1,"turquoise"
"DIP2C",1,"turquoise"
"RABL3",1,"turquoise"
"HMGCR",2,"blue"
"GCNT4",1,"turquoise"
"FAM169A",4,"yellow"
"NSA2",1,"turquoise"
"ZDHHC7",2,"blue"
"CSRNP2",2,"blue"
"ALDH7A1",3,"brown"
"PPIL3",2,"blue"
"NIF3L1",3,"brown"
"SLC26A5",1,"turquoise"
"BZW1",2,"blue"
"XPO1",1,"turquoise"
"GRK6",1,"turquoise"
"BPNT1",2,"blue"
"PUS7L",3,"brown"
"ATP6V1D",1,"turquoise"
"ADAMTS20",1,"turquoise"
"RASSF6",1,"turquoise"
"SOD2",4,"yellow"
"WTAP",3,"brown"
"FNDC1",1,"turquoise"
"TENM2",2,"blue"
"CAAP1",5,"green"
"STAG2",2,"blue"
"ABCF3",1,"turquoise"
"TMCC1",6,"red"
"CACNA2D1",2,"blue"
"RNF11",1,"turquoise"
"VEPH1",1,"turquoise"
"NEK1",1,"turquoise"
"PAQR7",1,"turquoise"
"BUB3",7,"black"
"ELAVL4",3,"brown"
"FAF1",2,"blue"
"CDKN2C",1,"turquoise"
"SLC46A3",1,"turquoise"
"SLC7A1",5,"green"
"UBL3",3,"brown"
"SLC25A30",2,"blue"
"GTF2F2",1,"turquoise"
"TSC22D1",7,"black"
"NUFIP1",1,"turquoise"
"MAP3K8",2,"blue"
"BCL6",1,"turquoise"
"CIT",1,"turquoise"
"MTFMT",1,"turquoise"
"MTPAP",6,"red"
"LRP6",1,"turquoise"
"ZNF292",1,"turquoise"
"RUNX1",0,"grey"
"SETD4",2,"blue"
"MICALL2",1,"turquoise"
"NETO2",2,"blue"
"ENOX2",1,"turquoise"
"SUOX",1,"turquoise"
"ATPAF2",1,"turquoise"
"COQ4",1,"turquoise"
"SLC6A1",8,"pink"
"GID4",1,"turquoise"
"FGD6",3,"brown"
"CNPPD1",4,"yellow"
"ZRANB2",1,"turquoise"
"IHH",4,"yellow"
"TJP1",1,"turquoise"
"TM9SF4",5,"green"
"TBCCD1",6,"red"
"UBASH3B",1,"turquoise"
"MCF2",4,"yellow"
"SEMA3D",1,"turquoise"
"SEMA3A",1,"turquoise"
"TARSL2",1,"turquoise"
"SMYD5",5,"green"
"GPR162",3,"brown"
"BEST4",1,"turquoise"
"CENPX",1,"turquoise"
"TEPSIN",1,"turquoise"
"F13B",4,"yellow"
"SPCS2",1,"turquoise"
"MRPS12",1,"turquoise"
"ATP6V1H",2,"blue"
"GMNN",5,"green"
"ITGA4",1,"turquoise"
"BDKRB1",1,"turquoise"
"FREM2",9,"magenta"
"AHCY",2,"blue"
"BAHD1",2,"blue"
"MIF4GD",1,"turquoise"
"GP1BB",6,"red"
"NAALADL2",3,"brown"
"CNDP1",1,"turquoise"
"ZDHHC14",2,"blue"
"THNSL2",1,"turquoise"
"gga-mir-1724",1,"turquoise"
"NFIL3",4,"yellow"
"ROR2",1,"turquoise"
"DAZAP1",1,"turquoise"
"ATG3",3,"brown"
"LRP5",9,"magenta"
"VPS11",4,"yellow"
"SNUPN",4,"yellow"
"LETM1",1,"turquoise"
"HSPA4L",1,"turquoise"
"RAB21",6,"red"
"SLC29A1",6,"red"
"LZTS2",3,"brown"
"KIF26A",5,"green"
"FGD3",3,"brown"
"FARSB",1,"turquoise"
"KANSL1",1,"turquoise"
"GPR37L1",1,"turquoise"
"MED13",1,"turquoise"
"ST7",2,"blue"
"CTNNB1",2,"blue"
"FMN1",3,"brown"
"EXOC6",1,"turquoise"
"EAF1",1,"turquoise"
"VWA9",5,"green"
"DDX54",6,"red"
"NSDHL",4,"yellow"
"YME1L1",8,"pink"
"CLIC4",2,"blue"
"GTF2IRD1",8,"pink"
"PLXNA2",3,"brown"
"ITGB1",2,"blue"
"SIK3",4,"yellow"
"LRRK1",2,"blue"
"NRP1",1,"turquoise"
"MCC",2,"blue"
"TMEM80",4,"yellow"
"SLC25A33",5,"green"
"TMEM35B",1,"turquoise"
"OLFM1",1,"turquoise"
"SFPQ",1,"turquoise"
"TAX1BP1",3,"brown"
"RARA",3,"brown"
"SVIP",7,"black"
"KAT6A",1,"turquoise"
"ANAPC13",1,"turquoise"
"ZBED4",1,"turquoise"
"SDCBP2",1,"turquoise"
"RHBDL1",1,"turquoise"
"NLRX1",2,"blue"
"SPEN",1,"turquoise"
"KLHL20",1,"turquoise"
"USP20",1,"turquoise"
"SLC18A3",2,"blue"
"HRH3",3,"brown"
"TUBD1",2,"blue"
"GAB1",1,"turquoise"
"AHCTF1",1,"turquoise"
"CRISPLD1",1,"turquoise"
"RAP1GAP2",4,"yellow"
"EEF2",2,"blue"
"IL17RA",0,"grey"
"NAA50",1,"turquoise"
"IDH3B",7,"black"
"RSU1",7,"black"
"SVBP",1,"turquoise"
"NFAT5",1,"turquoise"
"MINA",1,"turquoise"
"DCDC2",1,"turquoise"
"MRPS9",9,"magenta"
"TGFBRAP1",1,"turquoise"
"MTERF2",1,"turquoise"
"CRY1",2,"blue"
"PWP1",1,"turquoise"
"KBTBD11",3,"brown"
"ZADH2",1,"turquoise"
"TFEB",1,"turquoise"
"DTWD2",4,"yellow"
"HEMK1",1,"turquoise"
"CA9",1,"turquoise"
"B3GNT9",1,"turquoise"
"BTF3L4",1,"turquoise"
"SLC19A1",2,"blue"
"EMX1",2,"blue"
"ENO4",1,"turquoise"
"PLRG1",1,"turquoise"
"HNRNPA3",2,"blue"
"SDE2",3,"brown"
"IGF2BP3",1,"turquoise"
"GALNT3",6,"red"
"TFAM",1,"turquoise"
"DNAJC9",6,"red"
"CISD1",2,"blue"
"VAT1L",3,"brown"
"CMAS",1,"turquoise"
"TNFRSF1A",1,"turquoise"
"ICMT",2,"blue"
"SETDB1",1,"turquoise"
"TTC32",1,"turquoise"
"MATN3",3,"brown"
"WDSUB1",2,"blue"
"TLE1",1,"turquoise"
"RASEF",3,"brown"
"FRMD3",2,"blue"
"TANC1",1,"turquoise"
"BAZ2B",9,"magenta"
"CRTAP",2,"blue"
"MAN2A2",4,"yellow"
"TMX4",3,"brown"
"ORC1",1,"turquoise"
"TMEM150C",4,"yellow"
"PSMB1",1,"turquoise"
"SCRN1",1,"turquoise"
"TBP",1,"turquoise"
"SPAST",1,"turquoise"
"DPY30",1,"turquoise"
"ENOPH1",1,"turquoise"
"ACSL1",3,"brown"
"MPP4",1,"turquoise"
"CREB3L1",1,"turquoise"
"ARNTL",4,"yellow"
"SGSM1",2,"blue"
"SDF4",6,"red"
"SHKBP1",1,"turquoise"
"UBE2A",1,"turquoise"
"DIP2B",1,"turquoise"
"SYTL1",1,"turquoise"
"MLXIPL",1,"turquoise"
"DDX47",1,"turquoise"
"LRRTM4",1,"turquoise"
"HEBP1",4,"yellow"
"RPL36",1,"turquoise"
"TOE1",1,"turquoise"
"ABCD4",4,"yellow"
"KRR1",1,"turquoise"
"LRRC57",1,"turquoise"
"LSM8",3,"brown"
"HAUS2",1,"turquoise"
"THUMPD2",1,"turquoise"
"FTCD",1,"turquoise"
"STMN3",1,"turquoise"
"MOSPD1",2,"blue"
"REL",4,"yellow"
"ATRX",1,"turquoise"
"SEMA6C",3,"brown"
"RAB30",4,"yellow"
"PRSS23",1,"turquoise"
"ME3",1,"turquoise"
"FZD4",3,"brown"
"SPG21",1,"turquoise"
"ZEB1",1,"turquoise"
"ZNF438",1,"turquoise"
"MVD",7,"black"
"XPO6",1,"turquoise"
"CTRL",5,"green"
"DBN1",2,"blue"
"ZBTB7C",2,"blue"
"SLC16A3",4,"yellow"
"GK5",2,"blue"
"UAP1",5,"green"
"KIF1B",1,"turquoise"
"MST1",1,"turquoise"
"ANKS1A",7,"black"
"FAM32A",1,"turquoise"
"KNG1",3,"brown"
"ODF2",3,"brown"
"TMEM116",1,"turquoise"
"PAG1",4,"yellow"
"MPLKIP",1,"turquoise"
"UBA52",2,"blue"
"MPP2",4,"yellow"
"COL3A1",2,"blue"
"OTUD3",2,"blue"
"LUC7L",1,"turquoise"
"NTNG1",3,"brown"
"SENP2",4,"yellow"
"HMCN1",1,"turquoise"
"CLIP2",3,"brown"
"CHCHD5",3,"brown"
"JAZF1",2,"blue"
"NSRP1",4,"yellow"
"SPARC",1,"turquoise"
"MAFK",1,"turquoise"
"MYH7B",1,"turquoise"
"PLCXD1",8,"pink"
"BMP2",1,"turquoise"
"RGN",4,"yellow"
"LRRC58",1,"turquoise"
"FAM174A",1,"turquoise"
"CNTF",1,"turquoise"
"CD151",5,"green"
"SPATA20",1,"turquoise"
"NEURL2",3,"brown"
"MELTF",3,"brown"
"CACNA1C",2,"blue"
"HIVEP2",1,"turquoise"
"MPPE1",4,"yellow"
"CLOCK",1,"turquoise"
"PATL1",1,"turquoise"
"PARD3B",1,"turquoise"
"TMEM14A",1,"turquoise"
"PSMD11",3,"brown"
"GADD45B",1,"turquoise"
"SMIM14",1,"turquoise"
"FOXJ2",2,"blue"
"ADGRG6",1,"turquoise"
"PHF21A",6,"red"
"ASB13",4,"yellow"
"TWSG1",4,"yellow"
"IRAK2",3,"brown"
"RALBP1",1,"turquoise"
"GAB3",3,"brown"
"XPNPEP2",1,"turquoise"
"KIAA0513",1,"turquoise"
"CD83",1,"turquoise"
"FNDC3A",3,"brown"
"RCBTB2",1,"turquoise"
"SETDB2",4,"yellow"
"CAB39L",3,"brown"
"CDADC1",2,"blue"
"KPNA3",1,"turquoise"
"RCBTB1",2,"blue"
"MC3R",2,"blue"
"CAB39",1,"turquoise"
"ZZZ3",1,"turquoise"
"SRI",7,"black"
"GNB4",1,"turquoise"
"gga-mir-6550",1,"turquoise"
"WDR90",2,"blue"
"ATAD2",1,"turquoise"
"RDH10",3,"brown"
"MTHFD2",6,"red"
"MMS22L",1,"turquoise"
"CAMK2N2",1,"turquoise"
"DNASE2B",1,"turquoise"
"gga-mir-6578",1,"turquoise"
"THOC5",1,"turquoise"
"PCSK7",1,"turquoise"
"CBX4",7,"black"
"PPP1R27",1,"turquoise"
"EPN2",6,"red"
"ORMDL1",1,"turquoise"
"WNT7B",3,"brown"
"SAP30",1,"turquoise"
"SNX12",6,"red"
"PITPNB",1,"turquoise"
"DENND6A",1,"turquoise"
"KLHL36",6,"red"
"NFKB2",4,"yellow"
"HP1BP3",8,"pink"
"GLP1R",1,"turquoise"
"DDOST",4,"yellow"
"RPS3A",1,"turquoise"
"SGPP2",1,"turquoise"
"TMEM259",4,"yellow"
"GPRC5B",1,"turquoise"
"GRP",1,"turquoise"
"COMT",1,"turquoise"
"B4GALT1",4,"yellow"
"TRPS1",2,"blue"
"UROC1",2,"blue"
"NSMCE1",5,"green"
"DTYMK",1,"turquoise"
"STAM",1,"turquoise"
"SMAD5",1,"turquoise"
"WAC",2,"blue"
"RAE1",1,"turquoise"
"STAT1",3,"brown"
"SLC9A3R1",1,"turquoise"
"LMBR1L",5,"green"
"DDB1",1,"turquoise"
"NME4",1,"turquoise"
"DECR2",1,"turquoise"
"BRD3",1,"turquoise"
"ECD",1,"turquoise"
"UBL5",1,"turquoise"
"ESRP2",3,"brown"
"BRIX1",1,"turquoise"
"EXOSC10",5,"green"
"NUDT21",1,"turquoise"
"CDK1",4,"yellow"
"DPH1",6,"red"
"SUCO",1,"turquoise"
"RNF146",3,"brown"
"WDR81",1,"turquoise"
"SPHKAP",3,"brown"
"CDC42EP1",4,"yellow"
"gga-mir-6709",1,"turquoise"
"gga-mir-6690",1,"turquoise"
"CENPP",7,"black"
"XBP1",2,"blue"
"ZNF593",2,"blue"
"DCTN4",1,"turquoise"
"KIAA2013",3,"brown"
"PLOD1",1,"turquoise"
"MMD2",2,"blue"
"TNN",8,"pink"
"TYW3",3,"brown"
"MYEF2",1,"turquoise"
"NKX6-1",3,"brown"
"ALDH5A1",3,"brown"
"SPHK1",2,"blue"
"PCIF1",5,"green"
"KRT80",5,"green"
"CNDP2",2,"blue"
"ALDOC",1,"turquoise"
"STAC",1,"turquoise"
"MAPK9",4,"yellow"
"CBLN1",2,"blue"
"CLCF1",5,"green"
"KDM5B",2,"blue"
"RREB1",1,"turquoise"
"FBXO43",2,"blue"
"RASSF5",3,"brown"
"KLHL38",1,"turquoise"
"UTRN",9,"magenta"
"TAPT1",2,"blue"
"LDB2",1,"turquoise"
"LNP1",2,"blue"
"SESN1",3,"brown"
"TOMM70",1,"turquoise"
"RGMB",2,"blue"
"ARMC2",1,"turquoise"
"RIOK2",4,"yellow"
"RPUSD4",1,"turquoise"
"OGDH",2,"blue"
"PACSIN2",3,"brown"
"MARK3",1,"turquoise"
"NUP54",4,"yellow"
"DESI2",5,"green"
"HNRNPU",2,"blue"
"KCNK13",3,"brown"
"PSMC1",1,"turquoise"
"DCTD",1,"turquoise"
"NRDE2",1,"turquoise"
"DENND1A",1,"turquoise"
"AUTS2",2,"blue"
"FOCAD",2,"blue"
"UIMC1",7,"black"
"CD3E",1,"turquoise"
"MPZL2",1,"turquoise"
"MASP1",3,"brown"
"PMP22",2,"blue"
"SDC2",4,"yellow"
"DMRTA2",3,"brown"
"IKZF4",2,"blue"
"CCR7",2,"blue"
"UPRT",3,"brown"
"NT5C3A",1,"turquoise"
"STAU2",2,"blue"
"FAM3B",1,"turquoise"
"TMPRSS2",1,"turquoise"
"ZBTB21",4,"yellow"
"C2CD2",3,"brown"
"CNKSR1",3,"brown"
"FMOD",1,"turquoise"
"TIMM44",1,"turquoise"
"UBE2O",3,"brown"
"GNL2",1,"turquoise"
"TRIM33",1,"turquoise"
"MED16",4,"yellow"
"RAP2B",2,"blue"
"MYLK3",8,"pink"
"C15orf62",1,"turquoise"
"PLA2G12B",4,"yellow"
"RNF215",1,"turquoise"
"RRM2B",1,"turquoise"
"RAB10",1,"turquoise"
"OASL",1,"turquoise"
"CBL",1,"turquoise"
"HHIPL2",5,"green"
"PPIF",1,"turquoise"
"PHKA1",4,"yellow"
"C1orf50",9,"magenta"
"EDEM3",8,"pink"
"PPM1K",2,"blue"
"PIGX",8,"pink"
"CEP19",1,"turquoise"
"DDX46",1,"turquoise"
"OSBPL5",1,"turquoise"
"MESDC2",1,"turquoise"
"YEATS2",1,"turquoise"
"C7orf73",1,"turquoise"
"LMO3",1,"turquoise"
"COMMD9",2,"blue"
"STX1A",1,"turquoise"
"TYSND1",1,"turquoise"
"MT-ND2",1,"turquoise"
"COPS7B",1,"turquoise"
"POLL",1,"turquoise"
"RLIM",1,"turquoise"
"CSTF1",1,"turquoise"
"OSBP2",3,"brown"
"AP3B1",1,"turquoise"
"RFX7",4,"yellow"
"FAM43A",3,"brown"
"IGFBP1",4,"yellow"
"EGFL7",1,"turquoise"
"TAP1",1,"turquoise"
"P4HB",2,"blue"
"TMEM258",1,"turquoise"
"AHCYL2",2,"blue"
"BTAF1",1,"turquoise"
"KIF11",2,"blue"
"TM4SF18",1,"turquoise"
"LACTB2",1,"turquoise"
"EDEM2",4,"yellow"
"BRF2",3,"brown"
"ERBB4",3,"brown"
